primaryName,productor_score_mean,productor_score_max,productor_score_std,productor_ganador_oscar_prom,productor_nominado_oscar_prom
A.R. Shamsi,5.9,5.9,,0.0,0.0
A.R. Venkatesh,,,,0.0,0.0
A.R. Vikhyath,,,,0.0,0.0
A.R. Zulfikar,7.4,7.4,,0.0,0.0
A.R.S. Sunder,4.7,4.7,,0.0,0.0
A.S. Bhakthavathsalam,8.6,8.6,,0.0,0.0
A.S. Ganesan,7.3,7.3,,0.0,0.0
A.S. Gireesh Lal,5.15,6.6,2.0506096654409878,0.0,0.0
A.S. Kishore,,,,0.0,0.0
A.S. Manoj,6.9,6.9,,0.0,0.0
A.S. Maryson,,,,0.0,0.0
A.S. Murthy,8.5,8.5,,0.0,0.0
A.S. Peterson,,,,0.0,0.0
A.S. Ravisankar,,,,0.0,0.0
A.S.N. Sundar,,,,0.0,0.0
A.S.P. Liyanage,,,,0.0,0.0
A.S.R. Anjaneyulu,6.025,8.3,1.5370426148939402,0.0,0.0
A.T. Joseph Santhosh,6.0,6.0,,0.0,0.0
A.T. Krishnaswamy,8.2,8.2,,0.0,0.0
A.T. Raghu,,,,0.0,0.0
A.T. Sharma,,,,0.0,0.0
A.T.M. Shamsuzzaman,,,,0.0,0.0
A.V. Anoop,5.708333333333333,7.6,1.3950942186059976,0.0,0.0
A.V. Arumugam,,,,0.0,0.0
A.V. Govindan Kutty,7.8,7.8,,0.0,0.0
A.V. Jayaraj,,,,0.0,0.0
A.V. Krishna Reddy,,,,0.0,0.0
A.V. Meiyappan,7.4875,8.2,0.425636777859558,0.0,0.0
A.V. Mohan,7.4,7.4,,0.0,0.0
A.V. Subramaniam,6.7,6.9,0.26457513110645897,0.0,0.0
A.V. Venugopal Adakimaranahally,,,,0.0,0.0
A.V.K. Prasanth Babu,,,,0.0,0.0
A.V.M. Kumaran,6.9,6.9,,0.0,0.0
A.V.M. Rajan,,,,0.0,0.0
A.V.R. Swamy,7.1499999999999995,8.2,1.4849242404917495,0.0,0.0
A.V.S. Raju,7.7,7.7,,0.0,0.0
A.V.T. Shankardass,5.55,6.6,1.4849242404917495,0.0,0.0
A.Viswanathan,,,,0.0,0.0
A.W. Gryphon,4.76,8.1,1.947562579225633,0.0,0.0
A.W. Uhlig,,,,0.0,0.0
A.W. Vidmer,6.0,6.0,,0.0,0.0
A.a.V. Amasi,,,,0.0,0.0
AB Phoenix,5.7,5.7,,0.0,0.0
ACS Arun Kumar,,,,0.0,0.0
AG Rojas,,,,0.0,0.0
AG Suresh,,,,0.0,0.0
AG. Longhurst,6.3,6.3,,0.0,0.0
AGau and MaD,,,,0.0,0.0
AJ Belongia,,,,0.0,0.0
AJ Lovelace,,,,0.0,0.0
AJ Mandeville,5.9,5.9,,0.0,0.0
AJ Michalka,5.6,5.6,,0.0,0.0
AJ Perez,4.05,4.1,0.0707106781186545,0.0,0.0
AJ Schnack,6.333333333333333,7.4,1.5947831618540915,0.0,0.0
AJ Sterling,3.3,3.3,,0.0,0.0
ALi Khan AK,5.5,5.5,,0.0,0.0
AM,7.3,7.3,,0.0,0.0
AR Abhi,,,,0.0,0.0
ATA,,,,0.0,0.0
AV.Krishnakumar,,,,0.0,0.0
AVR,,,,0.0,0.0
Aabavaanan,7.699999999999999,8.1,0.5656854249492382,0.0,0.0
Aadelshah Rokay,4.8,4.8,,0.0,0.0
Aadharsh Madhikaandham,,,,0.0,0.0
Aadhitya Bahudhanam,,,,0.0,0.0
Aadhurthi,8.0,8.0,,0.0,0.0
Aadhya Lamichhane,,,,0.0,0.0
Aadi Sheshagiri Rao Ghattamaneni,5.45,7.8,1.242980289465605,0.0,0.0
Aadil Ahmad,,,,0.0,0.0
Aadil Jaleel,,,,0.0,0.0
Aadisht Khanna,,,,0.0,0.0
Aaditya Pratap Singh,5.5,5.5,,0.0,0.0
Aadnan Imtiaz Ahmed,,,,0.0,0.0
Aage Aaberge,5.711764705882352,7.3,0.9739624947483712,0.0,0.0
Aage Stentoft,5.75,5.8,0.0707106781186545,0.0,0.0
Aagot Skjeldal,4.8,4.8,,0.0,0.0
Aakapak Susan Apassingok,,,,0.0,0.0
Aakash Bhatia,6.5,6.5,,0.0,0.0
Aakash Chaudhry,6.7,6.7,,0.0,0.0
Aakash Dharat,,,,0.0,0.0
Aakash Poudel,8.1,8.1,,0.0,0.0
Aakash Sharma,6.2,6.2,,0.0,0.0
Aakkoo,5.3,5.3,,0.0,0.0
Aalam-Warqe Davidian,,,,0.0,0.0
Aalim Rushdy,,,,0.0,0.0
Aaliya Siddiqui,,,,0.0,0.0
Aaliya Willis,,,,0.0,0.0
Aaliyah Williams,6.2,6.2,,0.0,0.0
Aaliyah-Jade Bradbury,,,,0.0,0.0
Aalmist Subba,6.2,6.2,,0.0,0.0
Aaminah Thompson,,,,0.0,0.0
Aamir Bashir,6.5,6.5,,0.0,0.0
Aamir Jasdanwala,,,,0.0,0.0
Aamir Khan,7.6375,8.3,0.46885117955640127,0.0,0.0
Aamreeta Gautam,6.4,6.4,,0.0,0.0
Aamund Johannesen,7.6,7.6,,0.0,0.0
Aanand Kale,7.9,7.9,,0.0,0.0
Aanand L. Rai,7.036363636363637,8.2,1.0131857946820286,0.0,0.0
Aanand Mahendroo,7.0,7.0,,0.0,0.0
Aanand Rathore,7.9,7.9,,0.0,0.0
Aanchal Rane,7.2,7.2,,0.0,0.0
Aane Jyothi,,,,0.0,0.0
Aanish Farrukh,,,,0.0,0.0
Aanya Whitehead,6.9,8.5,1.0977249200050072,0.0,0.0
Aapo Rainio,8.5,8.5,,0.0,0.0
Aaran Creece,5.9,7.0,1.555634918610405,0.0,0.0
Aarav Patel,,,,0.0,0.0
Aarc Algérie,7.0,7.0,,0.0,0.0
Aare Tilk,,,,0.0,0.0
Aaref Rodriguez,3.6,3.6,,0.0,0.0
Aarem Reddy,,,,0.0,0.0
Aarin MacKay,,,,0.0,0.0
Aariz Ibrahim,,,,0.0,0.0
Aarni Kuorikoski,,,,0.0,0.0
Aarni Vaarnamo,,,,0.0,0.0
Aaro Riponiemi,,,,0.0,0.0
Aarohi Kc,6.75,7.3,0.7778174593052021,0.0,0.0
Aaron 'Cujo' Cooley,6.3,6.3,,0.0,0.0
Aaron A. Weiss,,,,0.0,0.0
Aaron Abdin,,,,0.0,0.0
Aaron Aites,6.65,7.0,0.49497474683058373,0.0,0.0
Aaron Alviso Stephenson,5.5,5.5,,0.0,0.0
Aaron Au,4.0,4.0,,0.0,0.0
Aaron Avruskin,7.1,7.1,,0.0,0.0
Aaron B. Koontz,4.766666666666667,5.4,0.568624070307733,0.0,0.0
Aaron Baggaley,8.0,8.0,,0.0,0.0
Aaron Barnett,,,,0.0,0.0
Aaron Basnet,,,,0.0,0.0
Aaron Becker,4.2,4.2,,0.0,0.0
Aaron Behl,9.0,9.0,,0.0,0.0
Aaron Bell,8.0,8.0,,0.0,0.0
Aaron Benward,,,,0.0,0.0
Aaron Berg,6.7,6.7,,0.0,0.0
Aaron Berger,6.7,7.2,0.7071067811865476,0.0,0.0
Aaron Bernard,6.5,7.7,1.6970562748477143,0.0,0.0
Aaron Berry,,,,0.0,0.0
Aaron Bickes,4.9,4.9,,0.0,0.0
Aaron Bishop,,,,0.0,0.0
Aaron Biston,3.0,3.0,,0.0,0.0
Aaron Blair,,,,0.0,0.0
Aaron Bleich,7.8,7.8,,0.0,0.0
Aaron Blossom,8.3,8.3,,0.0,0.0
Aaron Bocanegra,,,,0.0,0.0
Aaron Boltz,3.3,3.3,,0.0,0.0
Aaron Boyd,7.2,8.1,0.9000000000000002,0.0,0.0
Aaron Bratcher,4.7,4.7,,0.0,0.0
Aaron Brenner,,,,0.0,0.0
Aaron Briffa,,,,0.0,0.0
Aaron Briner,,,,0.0,0.0
Aaron Brookner,7.0,7.0,,0.0,0.0
Aaron Brown,,,,0.0,0.0
Aaron Burk,2.95,3.6,0.9192388155425119,0.0,0.0
Aaron Burnett,7.4,7.4,,0.0,0.0
Aaron Burns,5.225,6.7,1.1870832602082582,0.0,0.0
Aaron Burt,4.4,4.4,,0.0,0.0
Aaron Bush,,,,0.0,0.0
Aaron C. Butler,4.9,4.9,,0.0,0.0
Aaron C. Leaman,6.6,6.6,,0.0,0.0
Aaron Canter,,,,0.0,0.0
Aaron Cargile,,,,0.0,0.0
Aaron Carlson,,,,0.0,0.0
Aaron Carnahan,8.0,8.3,0.4242640687119292,0.0,0.0
Aaron Carnes,,,,0.0,0.0
Aaron Carrera,7.2,7.2,,0.0,0.0
Aaron Carroll,6.5,6.5,,0.0,0.0
Aaron Catling,7.5,7.5,,0.0,0.0
Aaron Cervantes,,,,0.0,0.0
Aaron Champion,6.1,6.1,,0.0,0.0
Aaron Christian Caine,,,,0.0,0.0
Aaron Clark,,,,0.0,0.0
Aaron Clayton,6.2,6.2,,0.0,0.0
Aaron Coffman,,,,0.0,0.0
Aaron Cohen,7.15,7.4,0.3535533905932738,0.0,0.0
Aaron Commareri,5.0,5.0,,0.0,0.0
Aaron Condon,,,,0.0,0.0
Aaron Cooper,,,,0.0,0.0
Aaron Covich,7.9,7.9,,0.0,0.0
Aaron Cox,5.8,5.8,,0.0,0.0
Aaron Craig,4.4,4.4,,0.0,0.0
Aaron Crow,,,,0.0,0.0
Aaron Crozier,6.1,6.1,,0.0,0.0
Aaron Cruze,6.0,6.0,,0.0,0.0
Aaron Cullers,,,,0.0,0.0
Aaron Curtis,6.0,6.0,,0.0,0.0
Aaron D. Newton,6.1,6.1,,0.0,0.0
Aaron D. Taylor,,,,0.0,0.0
Aaron D. Weisblatt,8.4,8.4,,0.0,0.0
Aaron Dada,,,,0.0,0.0
Aaron Daniel Mandel,,,,0.0,0.0
Aaron David Roberts,,,,0.0,0.0
Aaron Davidman,8.1,8.1,,0.0,0.0
Aaron Davison,,,,0.0,0.0
Aaron Dawson,,,,0.0,0.0
Aaron Dem,,,,0.0,0.0
Aaron Denham,,,,0.0,0.0
Aaron Dennis,7.6,7.8,0.28284271247461895,0.0,0.0
Aaron Dias,,,,0.0,0.0
Aaron Dixon,8.6,8.6,,0.0,0.0
Aaron Doolittle,,,,0.0,0.0
Aaron Dougherty,,,,0.0,0.0
Aaron Douglas Johnston,6.35,8.0,2.333452377915607,0.0,0.0
Aaron Dowell,,,,0.0,0.0
Aaron Drane,4.2,4.2,,0.0,0.0
Aaron Duffey,8.5,8.5,,0.0,0.0
Aaron Dunbar,7.4,7.4,,0.0,0.0
Aaron Dykes,7.0,7.0,,0.0,0.0
Aaron Egbert Allsop,7.9,7.9,,0.0,0.0
Aaron Ekland,4.5,4.5,,0.0,0.0
Aaron Ernst,7.3,7.3,,0.0,0.0
Aaron Etzler,6.8,6.8,,0.0,0.0
Aaron Everett,3.9,3.9,,0.0,0.0
Aaron Fairley,6.9799999999999995,8.0,1.1166915420114905,0.0,0.0
Aaron Falvey,,,,0.0,0.0
Aaron Farrell,,,,0.0,0.0
Aaron Faulls,7.9,7.9,,0.0,0.0
Aaron Feinstein,,,,0.0,0.0
Aaron Ferdinand,,,,0.0,0.0
Aaron Fischer,,,,0.0,0.0
Aaron Fisher-Cohen,5.6,5.6,,0.0,0.0
Aaron Fjellman,,,,0.0,0.0
Aaron Flood,5.4,5.4,,0.0,0.0
Aaron Floresco,,,,0.0,0.0
Aaron Fradkin,,,,0.0,0.0
Aaron Fullenkamp,5.5,5.5,,0.0,0.0
Aaron G. Abrams,,,,0.0,0.0
Aaron Gaffey,6.4,6.4,,0.0,0.0
Aaron Galvin,,,,0.0,0.0
Aaron Gaudin,4.3,4.8,0.7071067811865476,0.0,0.0
Aaron Gekoski,,,,0.0,0.0
Aaron Glick,7.4,7.4,,0.0,0.0
Aaron Godfred,3.5,3.5,,0.0,0.0
Aaron Goodmiller,4.449999999999999,5.6,1.6263455967290594,0.0,0.0
Aaron Goodyear,,,,0.0,0.0
Aaron Gordon,5.1,5.1,,0.0,0.0
Aaron Gorvine,3.6,3.6,,0.0,0.0
Aaron Granat,5.7,5.7,,0.0,0.0
Aaron Grasso,4.4,4.4,,0.0,0.0
Aaron Greer,6.5,6.5,,0.0,0.0
Aaron Gross,,,,0.0,0.0
Aaron Gum,7.9,7.9,,0.0,0.0
Aaron Gunn,,,,0.0,0.0
Aaron Guthrie,,,,0.0,0.0
Aaron Hammersley,,,,0.0,0.0
Aaron Hancox,6.916666666666667,7.5,0.5419102016632155,0.0,0.0
Aaron Harvey,5.133333333333333,6.3,1.0408329997330663,0.0,0.0
Aaron Head,5.8,5.8,,0.0,0.0
Aaron Heck,3.9,3.9,,0.0,0.0
Aaron Hendren,7.0,7.6,0.8485281374238566,0.0,0.0
Aaron Hernández,7.0,7.0,,0.0,0.0
Aaron Himelstein,7.5,8.6,1.5556349186104041,0.0,0.0
Aaron Hobson,,,,0.0,0.0
Aaron Hodges,,,,0.0,0.0
Aaron Hogan,,,,0.0,0.0
Aaron Horton,5.2,5.2,,0.0,0.0
Aaron Horvath,6.7,6.7,,0.0,0.0
Aaron Hose,8.0,8.0,,0.0,0.0
Aaron Houston,6.6,6.8,0.28284271247461895,0.0,0.0
Aaron Howland,8.4,8.4,,0.0,0.0
Aaron Hsu,,,,0.0,0.0
Aaron Hucker,6.0,6.0,,0.0,0.0
Aaron Huggett,8.1,8.2,0.141421356237309,0.0,0.0
Aaron I. Butler,7.7,8.3,0.5567764362830024,0.0,0.0
Aaron I. Naar,6.7,6.7,,0.0,0.0
