primaryName,escritor_score_mean,escritor_score_max,escritor_score_std,escritor_ganador_oscar_prom,escritor_nominado_oscar_prom
A.J. Gunawardena,7.300000000000001,7.4,0.1414213562373093,0.0,0.0
A.J. Hochhalter,7.5,7.5,,0.0,0.0
A.J. Hordijk,3.6,3.6,,0.0,0.0
A.J. Johnston,7.6,7.6,,0.0,0.0
A.J. Kparr,4.6,4.6,,0.0,0.0
A.J. Leslie,1.6,1.6,,0.0,0.0
A.J. Martinson,4.5,4.5,,0.0,0.0
A.J. Mattioli,6.1,6.1,,0.0,0.0
A.J. Mendez,,,,0.0,0.0
A.J. Messier,,,,0.0,0.0
A.J. Mintu,5.6,7.4,2.545584412271571,0.0,0.0
A.J. Oetman,,,,0.0,0.0
A.J. Peralta,5.4,5.4,,0.0,0.0
A.J. Pfeifer,8.3,8.3,,0.0,0.0
A.J. Pinkerton,,,,0.0,0.0
A.J. Quinnell,6.75,7.7,1.3435028842544405,0.0,0.0
A.J. Rana,,,,0.0,0.0
A.J. Rose,,,,0.0,0.0
A.J. Russell,5.833333333333333,7.3,1.2701705922171764,0.0,0.0
A.J. Suren,,,,0.0,0.0
A.J. Tipping,5.2,5.4,0.2828427124746193,0.0,0.0
A.J. Via,4.6,4.6,,0.0,0.0
A.J. de Soysa,,,,0.0,0.0
A.J.P. Taylor,,,,0.0,0.0
A.K. Burns,,,,0.0,0.0
A.K. Lohithadas,7.161538461538462,8.9,1.0043629519607216,0.0,0.0
A.K. Moore,6.2,6.2,,0.0,0.0
A.K. Sajan,4.611111111111111,6.5,1.4793955222019264,0.0,0.0
A.K. Santhosh,5.533333333333334,5.8,0.3785938897200184,0.0,0.0
A.K. Small,,,,0.0,0.0
A.K. Sohel,,,,0.0,0.0
A.K. Strom,3.3000000000000003,4.0,0.6082762530298219,0.0,0.0
A.K. Velan,6.2,6.2,,0.0,0.0
A.K. Waters,3.6999999999999997,4.1,0.5656854249492379,0.0,0.0
A.K.B. Kumar,,,,0.0,0.0
A.K.S. Nambiar,8.5,8.5,,0.0,0.0
A.L. Abanindran,6.9,6.9,,0.0,0.0
A.L. Bantwal,,,,0.0,0.0
A.L. Kennedy,6.0,6.3,0.4242640687119283,0.0,0.0
A.L. Narayanan,6.333333333333333,8.6,1.1633285577743433,0.0,0.0
A.L. Steiner,,,,0.0,0.0
A.L. Vijay,5.525,6.6,0.770435869213933,0.0,0.0
A.M. Baskar,,,,0.0,0.0
A.M. Greene,6.5,7.1,0.8485281374238566,0.0,0.0
A.M. Homes,6.3,6.5,0.2828427124746193,0.0,0.0
A.M. Jyoti Krishna,5.0,6.4,1.9798989873223332,0.0,0.0
A.M. Lukas,6.05,7.0,1.3435028842544405,0.0,0.0
A.M. Peters,,,,0.0,0.0
A.M. Presmanes,,,,0.0,0.0
A.M. Rathnam,5.65,7.6,2.7577164466275352,0.0,0.0
A.M. Samiulla,7.3,7.3,,0.0,0.0
A.M. Sannazzaro,7.3,7.3,,0.0,0.0
A.M. Shine,,,,0.0,0.0
A.M. Turaz,5.75,6.8,1.4849242404917495,0.0,0.0
A.M. Walters,,,,0.0,0.0
A.M. Willner,8.5,8.5,,0.0,0.0
A.M.R. Ramesh,7.0,8.2,1.0230672835481867,0.0,0.0
A.N. Balakrishnan,6.453333333333333,8.4,1.1758684733704985,0.0,0.0
A.N. Jayaramaiah,,,,0.0,0.0
A.P. Arjun,6.425,8.7,1.7017148213885112,0.0,0.0
A.P. Dearsley,5.4,5.4,,0.0,0.0
A.P. Menzies,6.8,6.8,,0.0,0.0
A.P. Nagarajan,7.384615384615385,8.1,0.8792479303796643,0.0,0.0
A.P. du Plessis,5.925,6.6,0.5737304826019501,0.0,0.0
A.Q. Khokon,6.3,6.3,,0.0,0.0
A.R. Amal Kannan,5.7,5.7,,0.0,0.0
A.R. Anand,8.0,8.9,1.272792206135786,0.0,0.0
A.R. Babu,6.2,7.0,1.1313708498984758,0.0,0.0
A.R. Badul,7.45,8.5,0.8167006795638168,0.0,0.0
A.R. Gandhi Krishna,,,,0.0,0.0
A.R. Garcia,5.7,5.7,,0.0,0.0
A.R. Hilton,3.8,3.8,,0.0,0.0
A.R. Mastan,,,,0.0,0.0
A.R. Matheazhagan,,,,0.0,0.0
A.R. Milton,5.3,5.3,,0.0,0.0
A.R. Mohan,,,,0.0,0.0
A.R. Mukesh,6.525,7.2,0.8381527307120107,0.0,0.0
A.R. Murugadoss,6.734999999999999,8.2,0.9587683985745789,0.0,0.0
A.R. Nicholas,5.9,5.9,,0.0,0.0
A.R. Prabhav,,,,0.0,0.0
A.R. Rafi,,,,0.0,0.0
A.R. Raghavendran,,,,0.0,0.0
A.R. Rahman,6.5,6.5,,0.0,0.0
A.R. Ramesh,,,,0.0,0.0
A.R. Rawlinson,5.2,5.2,,0.0,0.0
A.R. Sarkar,,,,0.0,0.0
A.R. Shiva Tejas,5.8,5.8,,0.0,0.0
A.R. Sreedhar,5.066666666666666,5.4,0.3511884584284245,0.0,0.0
A.R. Tagore,,,,0.0,0.0
A.R. Tompel,8.2,8.4,0.1414213562373104,0.0,0.0
A.R. Venkatesh,,,,0.0,0.0
A.R. Vikhyath,7.3,7.3,,0.0,0.0
A.R.C. Nair,6.7,6.7,,0.0,0.0
A.S. Byatt,6.55,6.8,0.3535533905932738,0.0,0.0
A.S. French,5.5,5.5,,0.0,0.0
A.S. Makarenko,6.5,6.5,,0.0,0.0
A.S. Nagarajan,8.3,8.3,,0.0,0.0
A.S. Peterson,,,,0.0,0.0
A.S. Pragasam,6.425,8.2,1.443086968966181,0.0,0.0
A.S. Ravi Kumar Chowdary,4.42,5.9,1.567482057313576,0.0,0.0
A.S. Ruch,,,,0.0,0.0
A.S.A. Sami,6.2,6.2,,0.0,0.0
A.T. Krishnaswamy,8.2,8.2,,0.0,0.0
A.T. Raghu,,,,0.0,0.0
A.T. Sayre,7.1,7.1,,0.0,0.0
A.T. Sharma,,,,0.0,0.0
A.T. White,5.2,5.2,,0.0,0.0
A.T.M. Shamsuzzaman,6.3,8.1,1.889973544788392,0.0,0.0
A.V. Bach,,,,0.0,0.0
A.V. Jayaraj,,,,0.0,0.0
A.V. Krishna Paramatma,,,,0.0,0.0
A.V. Rockwell,,,,0.0,0.0
A.V.A. LaReaux,,,,0.0,0.0
A.V.K. Prasanth Babu,,,,0.0,0.0
A.V.M.B.,,,,0.0,0.0
A.V.S. Subramanyam,5.8,5.8,,0.0,0.0
A.W. Brooksbank,4.8,4.8,,0.0,0.0
A.W. Grill,8.0,8.0,,0.0,0.0
A.W. Gryphon,5.400000000000001,8.1,2.4269322199023193,0.0,0.0
A.W. Vidmer,6.0,6.0,,0.0,0.0
A.W. Yrjänä,6.7,6.7,,0.0,0.0
A.a.V. Amasi,,,,0.0,0.0
A.i,,,,0.0,0.0
AAV Creative Unit,4.118,5.7,0.7547644584604536,0.0,0.0
AD Winch,,,,0.0,0.0
AG Rojas,,,,0.0,0.0
AG. Longhurst,6.3,6.3,,0.0,0.0
AJ Bartolotti,,,,0.0,0.0
AJ Belongia,,,,0.0,0.0
AJ Carothers,6.25,6.5,0.2509980079602227,0.0,0.0
AJ Jones,,,,0.0,0.0
AJ Lovelace,,,,0.0,0.0
AJ Lutsky,,,,0.0,0.0
AJ Perez,3.2,3.2,,0.0,0.0
AJ Resh,8.9,8.9,,0.0,0.0
AJ Schnack,,,,0.0,0.0
AJ Wedding,6.3,6.3,,0.0,0.0
AK Jampanna,,,,0.0,0.0
AK Srikanth,7.333333333333333,7.7,0.3511884584284246,0.0,0.0
AR Abhi,,,,0.0,0.0
AR Kendiren Muniyasami,,,,0.0,0.0
AR Murugadoss,6.6,6.6,,0.0,0.0
AR Sai Ram,,,,0.0,0.0
ATA,,,,0.0,0.0
Aaba Gayakwad,7.5,7.5,,0.0,0.0
Aabavaanan,7.933333333333334,8.4,0.5686240703077333,0.0,0.0
Aabhar Dadhich,4.366666666666666,4.8,0.4509249752822892,0.0,0.0
Aad Van Der Heyde,6.2,6.2,,0.0,0.0
Aadar Malik,6.9,6.9,,0.0,0.0
Aadesh K. Arjun,5.4772727272727275,7.1,1.104075488353348,0.0,0.0
Aadesh Raathi,7.6,7.6,,0.0,0.0
Aadharsh Madhikaandham,,,,0.0,0.0
Aadhi,5.2,5.2,,0.0,0.0
Aadhi Balakrishnan,,,,0.0,0.0
Aadhiraajan,,,,0.0,0.0
Aadhitya Bahudhanam,,,,0.0,0.0
Aadil Jaleel,,,,0.0,0.0
Aadiram,7.4,7.4,,0.0,0.0
Aadithyan,,,,0.0,0.0
Aadu Hint,6.3999999999999995,6.7,0.2645751311064592,0.0,0.0
Aafreen Alam,,,,0.0,0.0
Aage Rais-Nordentoft,5.8,6.9,0.9831920802501752,0.0,0.0
Aage Stentoft,5.54,6.7,0.7933053216343212,0.0,0.0
Aaju Peter,,,,0.0,0.0
Aakash Baral,8.9,8.9,,0.0,0.0
Aakash Bhatia,,,,0.0,0.0
Aakash Dikshit,,,,0.0,0.0
Aakash Kaushik,3.8833333333333333,4.8,0.611282804164052,0.0,0.0
Aakash Odedra,,,,0.0,0.0
Aakash Pandey,3.9,3.9,,0.0,0.0
Aake Kalliala,4.4,4.4,0.0,0.0,0.0
Aakela,7.1,7.1,,0.0,0.0
Aalam-Warqe Davidian,6.7,6.7,,0.0,0.0
Aalap Tripathi,7.0,7.0,,0.0,0.0
Aalayamani,,,,0.0,0.0
Aalif Surti,8.7,8.7,,0.0,0.0
Aalim Rushdy,,,,0.0,0.0
Aaliyah Ford,9.5,9.5,,0.0,0.0
Aaliyah Nicole Jackson,,,,0.0,0.0
Aalmist Subba,6.2,6.2,,0.0,0.0
Aalok Shrivastav,5.6,5.6,,0.0,0.0
Aamil Keeyan Khan,,,,0.0,0.0
Aaminah Thompson,,,,0.0,0.0
Aamir Bashir,6.5,6.5,,0.0,0.0
Aamir Khan,7.3,7.3,,0.0,0.0
Aamir Nahid Khan,,,,0.0,0.0
Aamira Isak Shaikh,7.1,7.1,,0.0,0.0
Aamreeta Gautam,6.4,6.4,,0.0,0.0
Aanaivari A. Sridhar,,,,0.0,0.0
Aanand Chabukswar,,,,0.0,0.0
Aanand Lonkar,6.8,6.8,,0.0,0.0
Aanand Vathar,8.7,8.7,,0.0,0.0
Aanish Farrukh,,,,0.0,0.0
Aanjinayya .K.,,,,0.0,0.0
Aapeli,6.5,6.6,0.141421356237309,0.0,0.0
Aapeli Autio,7.1,7.1,,0.0,0.0
Aaqib Khan,,,,0.0,0.0
Aaran Creece,7.2,7.2,,0.0,0.0
Aarav Raj,,,,0.0,0.0
Aare Toikka,5.8,5.8,,0.0,0.0
