primaryName,escritor_score_mean,escritor_score_max,escritor_score_std,escritor_ganador_oscar_prom,escritor_nominado_oscar_prom
Andreas Maus,6.75,7.0,0.3535533905932738,0.0,0.0
Andreas Meschuh,,,,0.0,0.0
Andreas Michera,5.3,5.3,,0.0,0.0
Andreas Müller,,,,0.0,0.0
Andreas Neu,,,,0.0,0.0
Andreas Nickel,7.15,7.2,0.07071067811865545,0.0,0.0
Andreas Ntinas,,,,0.0,0.0
Andreas Nygård,,,,0.0,0.0
Andreas Obermeier,3.9,3.9,,0.0,0.0
Andreas Olavarria,5.9,5.9,,0.0,0.0
Andreas Olenberg,6.9,6.9,,0.0,0.0
Andreas Oswald,,,,0.0,0.0
Andreas Oven,,,,0.0,0.0
Andreas Pantzis,6.35,7.0,0.793725393319377,0.0,0.0
Andreas Petersen,5.7,5.7,,0.0,0.0
Andreas Petrescu,,,,0.0,0.0
Andreas Pfiffner,6.4,6.4,,0.0,0.0
Andreas Pflüger,6.9,7.0,0.14142135623730995,0.0,0.0
Andreas Pichler,7.185714285714285,8.2,0.5843188953205017,0.0,0.0
Andreas Pieper,6.0,6.0,,0.0,0.0
Andreas Ponos,5.7,5.7,,0.0,0.0
Andreas Preisner,,,,0.0,0.0
Andreas Prochaska,6.4,7.2,0.73143694191639,0.0,0.0
Andreas Prodromou,3.3,3.3,,0.0,0.0
Andreas Pröhl,,,,0.0,0.0
Andreas Püschel,4.8,4.8,,0.0,0.0
Andreas Reisenbauer,6.3,6.3,,0.0,0.0
Andreas Resch,6.1,6.1,,0.0,0.0
Andreas Riedler,,,,0.0,0.0
Andreas Rochholl,7.9,7.9,,0.0,0.0
Andreas Rocksén,7.4,7.4,,0.0,0.0
Andreas Sahlström,,,,0.0,0.0
Andreas Samuelson,6.2,6.2,,0.0,0.0
Andreas Schaap,5.366666666666667,6.6,1.123981020005824,0.0,0.0
Andreas Scheffer,,,,0.0,0.0
Andreas Scheinert,6.340000000000001,7.2,0.5856620185738528,0.0,0.0
Andreas Schimmelbusch,4.2,4.2,,0.0,0.0
Andreas Schlüter,,,,0.0,0.0
Andreas Schmidbauer,4.05,4.2,0.2121320343559646,0.0,0.0
Andreas Schmied,6.199999999999999,6.3,0.14142135623730995,0.0,0.0
Andreas Schnaas,3.4,4.1,0.5715476066494081,0.0,0.0
Andreas Schneppe,5.5,5.5,,0.0,0.0
Andreas Schnögl,,,,0.0,0.0
Andreas Schürer,,,,0.0,0.0
Andreas Siadimas,7.2,7.2,,0.0,0.0
Andreas Sinakowski,6.2,6.2,,0.0,0.0
Andreas Soschynski,,,,0.0,0.0
Andreas Spanos,6.4,6.4,,0.0,0.0
Andreas Sroka,,,,0.0,0.0
Andreas Staikos,4.9,6.6,2.4041630560342613,0.0,0.0
Andreas Steinhöfel,6.283333333333334,7.1,0.8084965470963169,0.0,0.0
Andreas Steinkogler,7.5,7.5,,0.0,0.0
Andreas Stoll,,,,0.0,0.0
Andreas Strohfeldt,6.1,6.1,,0.0,0.0
Andreas Struck,5.7,5.7,,0.0,0.0
Andreas Taglinger,6.8,6.8,,0.0,0.0
Andreas Tarnanas,,,,0.0,0.0
Andreas Thomopoulos,6.028571428571429,6.6,0.2984084768360626,0.0,0.0
Andreas Toumbas,,,,0.0,0.0
Andreas Tsatsagias,,,,0.0,0.0
Andreas Tsekos,,,,0.0,0.0
Andreas Tsilifonis,6.633333333333333,7.0,0.6350852961085881,0.0,0.0
Andreas Urra,,,,0.0,0.0
Andreas Vakalios,8.7,8.7,,0.0,0.0
Andreas Vasshaug,,,,0.0,0.0
Andreas Vincent Weber,,,,0.0,0.0
Andreas Vlassopoulos,5.2,5.2,,0.0,0.0
Andreas Voigt,6.8500000000000005,7.6,0.6503845016603639,0.0,0.0
Andreas Wagner,,,,0.0,0.0
Andreas Weber,,,,0.0,0.0
Andreas Wielend,7.5,7.5,,0.0,0.0
Andreas Wilcke,7.4,7.4,,0.0,0.0
Andreas Wolff,7.433333333333334,8.0,0.55075705472861,0.0,0.0
Andreas Wunderlich,5.4,5.4,,0.0,0.0
Andreas Z Simon,4.8,4.8,,0.0,0.0
Andreas Zerr,,,,0.0,0.0
Andreas du Plessis,6.45,8.3,2.6162950903902265,0.0,0.0
Andreas van Riet,,,,0.0,0.0
Andreas Öhman,6.5,7.0,0.5228129047119375,0.0,0.0
Andreas-Michael Velten,,,,0.0,0.0
Andree Fresco,6.7,6.7,,0.0,0.0
Andree Lucini,,,,0.0,0.0
Andreea Boyer,6.6,6.6,,0.0,0.0
Andreea Cristina Bortun,5.8,5.8,,0.0,0.0
Andreea Georgescu,,,,0.0,0.0
Andreea Valean,7.2,7.8,0.40824829046386285,0.0,0.0
Andrei Alén,,,,0.0,0.0
Andrei Barbat,5.7,5.7,,0.0,0.0
Andrei Bezdenezhnykh,4.2,4.2,,0.0,0.0
Andrei Bitov,6.725,7.2,0.4856267428111157,0.0,0.0
Andrei Blaier,6.833333333333333,7.8,0.697614984548545,0.0,0.0
Andrei Borodin,,,,0.0,0.0
Andrei Bychkov,6.3,6.3,,0.0,0.0
Andrei Ciobanu,4.8,4.8,,0.0,0.0
Andrei Codrescu,7.2,7.2,,0.0,0.0
Andrei Cohn,7.4,7.4,,0.0,0.0
Andrei Craciun,,,,0.0,0.0
Andrei Cretulescu,6.7,6.7,,0.0,0.0
Andrei Cãtãlin Bãleanu,7.8,7.8,,0.0,0.0
Andrei Dascalescu,8.0,8.5,0.5,0.0,0.0
Andrei Dmitruk,4.8,4.8,,0.0,0.0
Andrei Donatov,6.7,7.7,0.9128709291752769,0.0,0.0
Andrei Epure,,,,0.0,0.0
Andrei Feher,4.5,4.8,0.26457513110645897,0.0,0.0
Andrei Gavrilov,,,,0.0,0.0
Andrei Georgescu,4.7,4.7,,0.0,0.0
Andrei Goncharov,3.0,3.4,0.5656854249492379,0.0,0.0
Andrei Goryunov,6.6,6.6,,0.0,0.0
Andrei Gruzsniczki,6.333333333333333,7.3,1.5044378795195676,0.0,0.0
Andrei Gryazev,7.766666666666667,8.7,0.814452781524707,0.0,0.0
Andrei Hutuleac,,,,0.0,0.0
Andrei Hvostov,6.2,6.2,,0.0,0.0
Andrei Kalesnikau,,,,0.0,0.0
Andrei Karasov,,,,0.0,0.0
Andrei Kashperski,,,,0.0,0.0
Andrei Kholenko,6.2,6.2,,0.0,0.0
Andrei Kirilenko,,,,0.0,0.0
Andrei Klimov,,,,0.0,0.0
Andrei Kniazevich,,,,0.0,0.0
Andrei Konchalovsky,6.641935483870968,8.3,1.000924304013841,0.0,0.0
Andrei Kuchayev,5.8,6.3,0.7071067811865476,0.0,0.0
Andrei Kureichik,5.372727272727273,6.9,1.0854408404799492,0.0,0.0
Andrei Kurkov,6.35,6.9,0.777817459305203,0.0,0.0
Andrei Kutsila,7.25,7.3,0.0707106781186545,0.0,0.0
Andrei Libenson,4.449999999999999,6.1,2.3334523779156062,0.0,0.0
Andrei Lokotosh,6.2,6.2,,0.0,0.0
Andrei Malaev-Babel,7.4,7.4,,0.0,0.0
Andrei Osinenko,6.0,6.0,,0.0,0.0
Andrei Polupanov,,,,0.0,0.0
Andrei Pop,,,,0.0,0.0
Andrei Prachenko,6.8,6.8,,0.0,0.0
Andrei Romanov,5.88,7.5,0.9934787365615837,0.0,0.0
Andrei Romanovsky,4.75,5.3,0.7778174593052021,0.0,0.0
Andrei Rostovtsev,5.5,5.5,,0.0,0.0
Andrei Salomatov,5.949999999999999,6.3,0.49497474683058373,0.0,0.0
Andrei Samsonov,7.1,7.1,,0.0,0.0
Andrei Schwartz,8.0,8.0,,0.0,0.0
Andrei Severny,7.3,7.3,,0.0,0.0
Andrei Shilov,7.3,7.3,,0.0,0.0
Andrei Shulgach,5.8,5.8,,0.0,0.0
Andrei Solovyov,6.6,6.6,,0.0,0.0
Andrei Sporea,8.2,8.2,,0.0,0.0
Andrei Stefanescu,4.4,5.0,0.8485281374238568,0.0,0.0
Andrei Strekov,5.8,5.8,,0.0,0.0
Andrei Strimbeanu,,,,0.0,0.0
Andrei Sudilovsky,,,,0.0,0.0
Andrei Sylvan Horia,,,,0.0,0.0
Andrei Tanase,,,,0.0,0.0
Andrei Tarkovsky,7.5,8.0,0.6969320524371699,0.0,0.0
Andrei Turcan,,,,0.0,0.0
Andrei Ujica,7.5,8.0,0.5,0.0,0.0
Andrei Yermash,5.6,6.0,0.5656854249492382,0.0,0.0
Andrei Zagdansky,8.533333333333333,9.4,0.6250333324444919,0.0,0.0
Andrei Zincã,6.4,6.8,0.5656854249492376,0.0,0.0
Andrei-Nicolae Teodorescu,7.2,7.2,,0.0,0.0
Andreia Barbosa,5.8,5.8,,0.0,0.0
Andreia Nunes,7.9,7.9,,0.0,0.0
Andreina Camilleri,,,,0.0,0.0
Andrej Acin,8.4,8.4,,0.0,0.0
Andrej Boka,,,,0.0,0.0
Andrej Certov,,,,0.0,0.0
Andrej Doblehar,,,,0.0,0.0
Andrej Dubravsky,4.9,4.9,,0.0,0.0
Andrej Godina,,,,0.0,0.0
Andrej Hieng,6.733333333333333,8.1,0.8351646544245028,0.0,0.0
Andrej Iliev,,,,0.0,0.0
Andrej Jelic,,,,0.0,0.0
Andrej Kolencik,5.8,5.8,,0.0,0.0
Andrej Korovljev,8.100000000000001,8.3,0.2828427124746199,0.0,0.0
Andrej Kosak,6.875,8.0,0.78049129826454,0.0,0.0
Andrej Kukoljac,,,,0.0,0.0
Andrej Lettrich,6.642857142857143,7.9,0.7044078904941913,0.0,0.0
Andrej Longo,,,,0.0,0.0
Andrej Mlakar,6.15,6.8,0.919238815542512,0.0,0.0
Andrej Morovic,,,,0.0,0.0
Andrej Nagode,,,,0.0,0.0
Andrej Nahtigal,7.7,7.7,,0.0,0.0
Andrej Nikolaidis,,,,0.0,0.0
Andrej Rozman-Roza,5.5,5.5,,0.0,0.0
Andrej Schwartz,7.466666666666666,7.6,0.15275252316519472,0.0,0.0
Andrej Sepetkovski,,,,0.0,0.0
Andrej Sorin,,,,0.0,0.0
Andrej Stritof,6.5,6.5,,0.0,0.0
Andrej Tomin,,,,0.0,0.0
Andrej Tsjernych,4.6,4.6,,0.0,0.0
Andrej Vajevec,,,,0.0,0.0
Andrej Zupanec,5.7,5.7,,0.0,0.0
Andreja Vrazalic,,,,0.0,0.0
Andrejs Ekis,5.3,7.1,1.462873883832779,0.0,0.0
Andrejs Hramcovs,,,,0.0,0.0
Andrejs Skailis,6.8,6.8,,0.0,0.0
Andrejs Upits,6.4,7.6,1.6970562748477134,0.0,0.0
Andres Alegria,,,,0.0,0.0
Andres Anglade,8.6,8.6,,0.0,0.0
Andres Anvelt,6.1,6.1,,0.0,0.0
Andres Arce Maldonado,6.8,6.8,,0.0,0.0
Andres Beltran,5.8,5.8,,0.0,0.0
Andres Brütsch,5.9,5.9,,0.0,0.0
Andres Clariond,6.1,6.4,0.42426406871192857,0.0,0.0
Andres Cuevas,5.8,5.8,,0.0,0.0
Andres De Oliveira,6.2,6.2,,0.0,0.0
Andres Diaz,6.8,6.8,,0.0,0.0
Andres Dussan,5.1,5.1,,0.0,0.0
Andres Ehin,6.4,6.4,,0.0,0.0
Andres Enderli,,,,0.0,0.0
Andres Faucher,,,,0.0,0.0
Andres Feddersen,3.8,3.8,,0.0,0.0
Andres Garza,,,,0.0,0.0
Andres Heinz,7.3,8.0,0.9899494936611668,0.0,0.0
Andres Ibañez Diaz Infante,6.0,6.0,,0.0,0.0
Andres Jurado,,,,0.0,0.0
Andres Keil,5.0,5.0,,0.0,0.0
Andres Livov,7.9,7.9,,0.0,0.0
Andres Lokko,7.45,7.7,0.3535533905932738,0.0,0.0
Andres Londono,,,,0.0,0.0
Andres Maimik,6.4799999999999995,7.7,0.8456424250894176,0.0,0.0
Andres Medina,,,,0.0,0.0
Andres Monterrubio,5.0,5.0,,0.0,0.0
Andres Muhmenthaler,,,,0.0,0.0
Andres Paling,5.8,5.8,,0.0,0.0
Andres Palma-Buratta,7.0,7.0,,0.0,0.0
Andres Pardo,6.5,6.5,,0.0,0.0
Andres Pasman,,,,0.0,0.0
Andres Peyrot,,,,0.0,0.0
Andres Pfäffli,,,,0.0,0.0
Andres Poom,6.6,6.6,,0.0,0.0
Andres Puustusmaa,5.166666666666667,6.0,0.7637626158259734,0.0,0.0
Andres Rafael Zabala,6.7,6.7,,0.0,0.0
Andres Ramirez,5.1,5.1,,0.0,0.0
Andres Rios,5.7,5.7,,0.0,0.0
Andres Rosende,4.4,4.4,,0.0,0.0
Andres Rovira,4.1,4.1,,0.0,0.0
Andres Salaff,7.4,7.4,,0.0,0.0
Andres Sööt,6.3,6.3,,0.0,0.0
Andres Torres,6.800000000000001,8.3,2.121320343559643,0.0,0.0
Andres Valle,6.0,6.0,,0.0,0.0
Andres Veiel,7.185714285714285,8.3,0.676827332556272,0.0,0.0
Andres Vera,,,,0.0,0.0
Andres Villa,,,,0.0,0.0
Andresa Pinheiro Nunes,,,,0.0,0.0
Andretti Dante,4.9,4.9,,0.0,0.0
Andreu Buenafuente,6.4,6.4,,0.0,0.0
Andreu Castro,4.9,4.9,,0.0,0.0
Andreu García,7.4,7.4,,0.0,0.0
Andreu Martín,5.0,5.9,0.8831760866327848,0.0,0.0
Andreu Signes,,,,0.0,0.0
Andreu Viñas,,,,0.0,0.0
Andreuw Parinussa,,,,0.0,0.0
Andrew A Wilkinson,9.0,9.0,,0.0,0.0
Andrew Abrahams,7.9,7.9,,0.0,0.0
Andrew Abrahamson,7.7,7.7,,0.0,0.0
Andrew Adams,,,,0.0,0.0
Andrew Adamson,6.783333333333334,7.4,0.4578937285731993,0.0,0.0
Andrew Ahn,6.1,6.1,,0.0,0.0
Andrew Ainsworth,5.1,5.1,,0.0,0.0
Andrew Aitken,6.6,6.6,,0.0,0.0
Andrew Ajayi,,,,0.0,0.0
Andrew Alden,,,,0.0,0.0
Andrew Allan,5.8,5.8,,0.0,0.0
Andrew Allen,7.6,7.6,,0.0,0.0
Andrew Anastasios,7.0,7.0,,0.0,0.0
Andrew Andrade,6.0,6.0,,0.0,0.0
Andrew Arcos,,,,0.0,0.0
Andrew Arnold,,,,0.0,0.0
Andrew Aronow,5.8,5.8,,0.0,0.0
Andrew Augusta,6.9,6.9,,0.0,0.0
Andrew Austin,6.5,6.5,,0.0,0.0
Andrew B. Chisholm,3.3,3.3,,0.0,0.0
Andrew Bakalar,5.5,5.5,,0.0,0.0
Andrew Baldwin,6.3,6.3,0.0,0.0,0.0
Andrew Balog,4.6,4.6,,0.0,0.0
Andrew Bambach,,,,0.0,0.0
Andrew Bampfield,7.333333333333333,7.7,0.5507570547286101,0.0,0.0
Andrew Barchilon,,,,0.0,0.0
Andrew Bard,3.6,3.6,,0.0,0.0
Andrew Barlow,5.7,5.7,,0.0,0.0
Andrew Barrer,6.05,7.0,1.3435028842544405,0.0,0.0
Andrew Bassett,4.9,4.9,,0.0,0.0
Andrew Bay,,,,0.0,0.0
Andrew Beck,,,,0.0,0.0
Andrew Bee,,,,0.0,0.0
Andrew Beguin,4.7,4.7,,0.0,0.0
Andrew Bell,,,,0.0,0.0
Andrew Bellware,2.4,2.4,,0.0,0.0
Andrew Benker,4.6,4.6,,0.0,0.0
Andrew Berends,8.3,8.3,,0.0,0.0
Andrew Bergman,6.0249999999999995,7.7,0.9640115050237639,0.0,0.0
Andrew Beszant,5.9,5.9,,0.0,0.0
Andrew Bird,4.3,4.3,,0.0,0.0
Andrew Birkin,6.5,7.7,0.7443117626371359,0.0,0.0
Andrew Black,,,,0.0,0.0
Andrew Blackburn,8.7,8.7,,0.0,0.0
Andrew Blake Doyle,7.9,7.9,,0.0,0.0
Andrew Bloomenthal,6.4,6.4,,0.0,0.0
Andrew Blubaugh,6.7,6.7,,0.0,0.0
Andrew Bogle,6.1,6.1,,0.0,0.0
Andrew Bondlow,,,,0.0,0.0
Andrew Boodhoo Kightlinger,4.8999999999999995,6.5,1.4000000000000004,0.0,0.0
Andrew Boonkrong,6.0,6.0,,0.0,0.0
Andrew Bovell,6.699999999999999,8.1,0.8,0.0,0.0
Andrew Bowcock,,,,0.0,0.0
Andrew Bowen,6.0,6.0,,0.0,0.0
Andrew Bowler,6.633333333333333,7.2,0.7371114795831999,0.0,0.0
Andrew Bowser,6.6,7.4,1.1313708498984767,0.0,0.0
Andrew Boylan,4.15,4.2,0.07071067811865482,0.0,0.0
Andrew Bozalis,6.9,6.9,,0.0,0.0
Andrew Brannen,,,,0.0,0.0
Andrew Brenner,5.76,6.4,0.4827007354458873,0.0,0.0
Andrew Brick Johnson,5.8,5.8,,0.0,0.0
Andrew Briol,,,,0.0,0.0
Andrew Broder,,,,0.0,0.0
Andrew Bronstein,4.4,4.4,,0.0,0.0
Andrew Brooks,,,,0.0,0.0
Andrew Brotzman,5.3,5.5,0.2828427124746193,0.0,0.0
Andrew Brown,7.15,7.8,0.9192388155425113,0.0,0.0
Andrew Brunton,4.7,4.7,,0.0,0.0
Andrew Buckley,5.45,6.7,1.7677669529663689,0.0,0.0
Andrew Buckner,,,,0.0,0.0
Andrew Bujalski,6.1375,6.7,0.4068608045581615,0.0,0.0
Andrew Burdette,4.9,4.9,,0.0,0.0
Andrew Burn,4.3,4.3,,0.0,0.0
Andrew Burroughs,5.9,5.9,,0.0,0.0
Andrew Burton,,,,0.0,0.0
Andrew Bush,6.0,6.0,,0.0,0.0
Andrew Bussey,3.4,3.4,,0.0,0.0
Andrew Butts,,,,0.0,0.0
Andrew C. Erin,5.2,6.1,0.6356099432828282,0.0,0.0
Andrew C. Fisher,8.6,8.6,,0.0,0.0
Andrew C. Mathews,9.0,9.0,,0.0,0.0
Andrew C. Moore,,,,0.0,0.0
Andrew C. Morgan,,,,0.0,0.0
Andrew Call,,,,0.0,0.0
Andrew Callaghan,,,,0.0,0.0
Andrew Campbell,5.3,7.7,3.3941125496954285,0.0,0.0
Andrew Cappelletti,3.2,3.2,,0.0,0.0
Andrew Carr,6.9,6.9,,0.0,0.0
Andrew Castruita,,,,0.0,0.0
Andrew Chalmers,,,,0.0,0.0
Andrew Chang,,,,0.0,0.0
Andrew Chapman,5.65,6.2,0.7778174593052023,0.0,0.0
Andrew Charas,4.8,4.8,,0.0,0.0
Andrew Charles Tanner,6.3,7.0,0.9899494936611668,0.0,0.0
Andrew Chiang Meng Ngin,5.3,5.3,,0.0,0.0
Andrew Chiaramonte,4.6,4.6,,0.0,0.0
Andrew Christopher,,,,0.0,0.0
Andrew Chung,7.0,7.0,,0.0,0.0
Andrew Cividino,6.6,6.6,,0.0,0.0
Andrew Clough,,,,0.0,0.0
Andrew Coalson,,,,0.0,0.0
Andrew Coates,2.5,2.5,,0.0,0.0
Andrew Coburn,5.966666666666666,6.1,0.1527525231651949,0.0,0.0
Andrew Cockburn,6.85,7.7,1.202081528017131,0.0,0.0
Andrew Cohen,,,,0.0,0.0
Andrew Cohn,5.8,5.8,,0.0,0.0
Andrew Collins,,,,0.0,0.0
Andrew Compton,,,,0.0,0.0
Andrew Conlon,,,,0.0,0.0
Andrew Cook,6.1,6.5,0.5656854249492382,0.0,0.0
Andrew Corrar,,,,0.0,0.0
Andrew Cosby,5.3,5.3,,0.0,0.0
Andrew Costello,5.1,5.1,,0.0,0.0
Andrew Covington,,,,0.0,0.0
Andrew Crabtree,5.2,5.2,,0.0,0.0
Andrew Craddock,5.225,5.7,0.3201562118716427,0.0,0.0
Andrew Craft,7.5,7.5,,0.0,0.0
Andrew Crandall,6.9,6.9,,0.0,0.0
Andrew Crane,8.3,8.3,,0.0,0.0
Andrew Crawford,,,,0.0,0.0
Andrew Creagh,6.1,6.1,,0.0,0.0
Andrew Cristi,,,,0.0,0.0
Andrew Cross,4.9,4.9,,0.0,0.0
Andrew Cryan,4.2,4.2,,0.0,0.0
Andrew Cull,4.5,4.5,,0.0,0.0
Andrew Cullen,4.4,4.4,,0.0,0.0
Andrew Culp,,,,0.0,0.0
Andrew Culver,6.8,6.8,,0.0,0.0
Andrew Cumming,,,,0.0,0.0
Andrew Currie,6.7,6.7,,0.0,0.0
Andrew Cymek,4.45,5.2,1.0606601717798212,0.0,0.0
Andrew D. Kaplan,8.15,8.5,0.49497474683058307,0.0,0.0
Andrew D. Pringle,,,,0.0,0.0
Andrew Dafoe,7.2,7.2,,0.0,0.0
Andrew Dalrymple,6.7,6.7,,0.0,0.0
Andrew Dalton,,,,0.0,0.0
Andrew Daub,,,,0.0,0.0
Andrew Davenport,8.7,8.7,,0.0,0.0
Andrew David Barker,6.4,6.4,,0.0,0.0
Andrew David Clark,7.85,8.5,0.9192388155425113,0.0,0.0
Andrew Davies,6.2299999999999995,6.9,0.4762119042797834,0.0,0.0
Andrew Davila,2.0,2.0,,0.0,0.0
Andrew Davis,5.8,6.7,0.8717797887081346,0.0,0.0
Andrew Dawe,,,,0.0,0.0
Andrew Dawson,7.8,7.8,,0.0,0.0
Andrew Day,6.4,6.4,,0.0,0.0
Andrew DeVary,,,,0.0,0.0
Andrew DeYoung,,,,0.0,0.0
Andrew Dean,3.9,3.9,,0.0,0.0
Andrew Dean Stein,,,,0.0,0.0
Andrew Deemer,6.0,6.0,,0.0,0.0
Andrew Delaplaine,5.7,5.7,,0.0,0.0
Andrew Deleon,6.5,6.5,,0.0,0.0
Andrew Denton,6.3,6.3,,0.0,0.0
Andrew Desmond,4.95,5.2,0.3535533905932738,0.0,0.0
Andrew Deutsch,5.057142857142857,6.8,1.1716898663286044,0.0,0.0
Andrew Deutschman,5.5,6.4,1.272792206135786,0.0,0.0
Andrew Di Pardo,,,,0.0,0.0
Andrew Dice Clay,5.3,5.3,,0.0,0.0
Andrew Dickler,6.1,6.1,,0.0,0.0
Andrew Dickson,7.1,7.1,,0.0,0.0
Andrew Dieck,3.7,3.7,,0.0,0.0
Andrew Dillon,6.45,7.2,1.0606601717798212,0.0,0.0
Andrew Disney,6.4,6.4,,0.0,0.0
Andrew Dittmann,,,,0.0,0.0
Andrew Djomo Njanjo,,,,0.0,0.0
Andrew Dodge,6.6,6.6,,0.0,0.0
Andrew Dominik,6.933333333333334,7.5,0.6658328118479393,0.0,0.0
Andrew Donoho,8.4,8.4,,0.0,0.0
Andrew Dosunmu,5.5,5.5,,0.0,0.0
Andrew Douglas,,,,0.0,0.0
Andrew Dowd,5.9,5.9,,0.0,0.0
Andrew Dowler,3.2,3.2,,0.0,0.0
Andrew Dresher,8.3,8.3,,0.0,0.0
Andrew Drimiotis,7.9,7.9,,0.0,0.0
Andrew Dudin,,,,0.0,0.0
Andrew Duncan,6.4,6.4,,0.0,0.0
Andrew Dunlop,7.0,7.0,,0.0,0.0
Andrew Durham,,,,0.0,0.0
Andrew Duvall,,,,0.0,0.0
Andrew Dwyer,,,,0.0,0.0
Andrew Dyson,5.8,5.8,,0.0,0.0
Andrew E.,7.2,7.2,,0.0,0.0
Andrew E. Matthews,5.9,5.9,,0.0,0.0
Andrew E. Stoner,5.6,5.6,,0.0,0.0
Andrew Edelson,1.5,1.5,,0.0,0.0
Andrew Edison,4.5,4.5,,0.0,0.0
Andrew Edmonds,7.0,7.0,,0.0,0.0
Andrew Eisen,5.8,5.8,,0.0,0.0
Andrew Elabor,,,,0.0,0.0
Andrew Elias,6.8,6.8,,0.0,0.0
Andrew Ellard,4.0,4.0,,0.0,0.0
Andrew Ellis,5.433333333333334,6.7,1.2503332889007368,0.0,0.0
Andrew Ellmaker,,,,0.0,0.0
Andrew Emerson,6.6,7.3,0.9899494936611658,0.0,0.0
Andrew Emilio DeCesare,3.2,3.2,,0.0,0.0
Andrew Ericksen,3.5,3.8,0.4242640687119283,0.0,0.0
Andrew Erwin,6.6,6.6,,0.0,0.0
Andrew Facca,,,,0.0,0.0
Andrew Faure,5.65,5.8,0.2121320343559638,0.0,0.0
Andrew Fawn,,,,0.0,0.0
Andrew Fein,,,,0.0,0.0
Andrew Feinstein,7.5,7.5,,0.0,0.0
Andrew Ferrara,,,,0.0,0.0
Andrew Field,,,,0.0,0.0
Andrew Finnigan,6.6000000000000005,8.7,2.455605831561735,0.0,0.0
Andrew Fiscus,,,,0.0,0.0
Andrew Fitzgerald,4.7,4.7,,0.0,0.0
Andrew Flatley,6.6,6.6,,0.0,0.0
Andrew Fleming,5.9,6.5,0.821149020754281,0.0,0.0
Andrew Flinders,,,,0.0,0.0
Andrew Flynn,7.6,7.6,,0.0,0.0
Andrew Foley,6.3,6.3,,0.0,0.0
Andrew Ford,5.666666666666667,7.3,1.8230011885167086,0.0,0.0
Andrew Fossler,,,,0.0,0.0
Andrew Frade,8.9,8.9,,0.0,0.0
Andrew Fredericks,,,,0.0,0.0
Andrew Freeman,5.7,5.7,,0.0,0.0
Andrew Freer,,,,0.0,0.0
Andrew Freire,,,,0.0,0.0
Andrew Freud,,,,0.0,0.0
Andrew Friedman,5.2,5.2,,0.0,0.0
Andrew Friend,,,,0.0,0.0
Andrew Froening,,,,0.0,0.0
Andrew G. Cooper,,,,0.0,0.0
Andrew G. Szabo,,,,0.0,0.0
Andrew G. Taylor,4.8,4.8,,0.0,0.0
Andrew Gabura,,,,0.0,0.0
Andrew Gajadhar,8.4,8.4,,0.0,0.0
Andrew Gallacher,5.3,5.3,,0.0,0.0
Andrew Galton,3.3,3.3,,0.0,0.0
Andrew Games,,,,0.0,0.0
Andrew Gardner,,,,0.0,0.0
Andrew Garton,,,,0.0,0.0
Andrew Gaty,6.0,6.4,0.5656854249492386,0.0,0.0
Andrew Gause,3.95,5.9,2.7577164466275357,0.0,0.0
Andrew Gellis,5.6,6.4,1.1313708498984762,0.0,0.0
Andrew Genaille,7.2,7.2,,0.0,0.0
Andrew Getty,5.6,5.6,,0.0,0.0
Andrew Gibbs,4.3,4.3,,0.0,0.0
Andrew Gibson,6.2,6.2,,0.0,0.0
Andrew Gilbert,4.35,4.9,0.777817459305203,0.0,0.0
Andrew Gingerich,6.4,6.4,,0.0,0.0
Andrew Gitomer,7.2,7.2,,0.0,0.0
Andrew Glessner,4.6,4.6,,0.0,0.0
Andrew Goldberg,6.466666666666666,6.9,0.7505553499465139,0.0,0.0
Andrew Goldman,6.8,6.8,,0.0,0.0
Andrew Gomez,5.7,5.7,,0.0,0.0
Andrew Gooi,,,,0.0,0.0
Andrew Gordon,5.0,5.0,,0.0,0.0
Andrew Gori,,,,0.0,0.0
Andrew Goth,4.45,5.3,1.2020815280171306,0.0,0.0
Andrew Graham-Dixon,7.0,7.5,0.7071067811865476,0.0,0.0
Andrew Greco,,,,0.0,0.0
Andrew Green,5.0,5.0,,0.0,0.0
Andrew Grieve,6.6,6.6,,0.0,0.0
Andrew Grossman,,,,0.0,0.0
Andrew Groves,6.3,6.3,,0.0,0.0
Andrew Guerdat,,,,0.0,0.0
Andrew Guerrero,4.2,4.2,,0.0,0.0
Andrew Gunn,5.566666666666666,5.9,0.41633319989322737,0.0,0.0
Andrew Gurland,5.26,6.1,0.950263121456368,0.0,0.0
Andrew Guy,,,,0.0,0.0
Andrew Hader,7.7,7.7,,0.0,0.0
Andrew Haigh,6.75,7.6,1.0598742063723092,0.0,0.0
Andrew Hajek,,,,0.0,0.0
Andrew Hall,2.8,2.8,,0.0,0.0
Andrew Hamilton,5.1,6.4,1.8384776310850237,0.0,0.0
Andrew Hanson,5.3,5.3,,0.0,0.0
Andrew Hardaway,,,,0.0,0.0
Andrew Harmer,5.550000000000001,6.4,1.2020815280171306,0.0,0.0
Andrew Harmon,,,,0.0,0.0
Andrew Hartley,7.1,7.1,,0.0,0.0
Andrew Hartman,,,,0.0,0.0
Andrew Harvey,5.7,5.7,,0.0,0.0
Andrew Harwood,3.5,3.5,,0.0,0.0
Andrew Havlik,,,,0.0,0.0
Andrew Haworth,4.0,4.0,,0.0,0.0
Andrew Hayward,6.8,6.8,,0.0,0.0
Andrew Hazell,,,,0.0,0.0
