primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
Aamina Sheikh,7.057142857142857,7.9,0.9727232269204208,0.0,0.0
Aaminah Thompson,,,,0.0,0.0
Aamira Challenger,,,,0.0,0.0
Aamito Lagum,,,,0.0,0.0
Aamna Malick,,,,0.0,0.0
Aamna Sharif,5.775,6.6,0.6238322424070963,0.0,0.0
Aamrapali Ketkar,6.4,6.4,,0.0,0.0
Aamu Milonoff,6.366666666666667,6.8,0.37859388972001834,0.0,0.0
Aamu Sorvoja,5.6,5.6,,0.0,0.0
Aanamika Lamichane,,,,0.0,0.0
Aanandee Tripathi,7.3,7.3,,0.0,0.0
Aanchal,,,,0.0,0.0
Aanchal Chauhan,5.95,6.5,0.7778174593052021,0.0,0.0
Aanchal Goswami,,,,0.0,0.0
Aanchal Kohli,,,,0.0,0.0
Aanchal Mehra,,,,0.0,0.0
Aanchal Munjal,5.366666666666667,6.2,1.0408329997330665,0.0,0.0
Aanchal Poddaar,8.3,8.3,,0.0,0.0
Aanchal Sabharwal,4.7,4.7,,0.0,0.0
Aanchal Sahu,7.3,7.3,,0.0,0.0
Aanchal Shah,,,,0.0,0.0
Aanchal Singh,4.633333333333334,4.8,0.20816659994661335,0.0,0.0
Aanchal Soni,,,,0.0,0.0
Aangelina Abraham,,,,0.0,0.0
Aani Princy,,,,0.0,0.0
Aankha Neal,7.8,7.8,,0.0,0.0
Aanon Siddiqua,,,,0.0,0.0
Aanoushka,7.3,7.3,,0.0,0.0
Aanshi Barot,,,,0.0,0.0
Aanu Adeleke,,,,0.0,0.0
Aanu Kolade,,,,0.0,0.0
Aanuoluwapo Olatunde,,,,0.0,0.0
Aanya Howard,,,,0.0,0.0
Aanya Shetty,6.9,6.9,,0.0,0.0
Aanya Whitehead,6.4,6.4,,0.0,0.0
Aara,,,,0.0,0.0
Aaradhna Uppal,,,,0.0,0.0
Aaradhya,,,,0.0,0.0
Aaradhya Deol,,,,0.0,0.0
Aaradhya N Chandra,,,,0.0,0.0
Aaradhya Sai,,,,0.0,0.0
Aarambhikka Oberoi,,,,0.0,0.0
Aardra Athalye,6.5,6.5,,0.0,0.0
Aaricia Dubois,7.1000000000000005,7.3,0.34641016151377535,0.0,0.0
Aaries,6.7,6.7,,0.0,0.0
Aarika Foulston,7.0,7.0,,0.0,0.0
Aarin Cummings,5.2,5.2,,0.0,0.0
Aarju Dhillon,,,,0.0,0.0
Aarlyn Adams,,,,0.0,0.0
Aarna,,,,0.0,0.0
Aarna Kulkarni,7.4,7.4,,0.0,0.0
Aarnaa Sharma,7.2,7.2,,0.0,0.0
Aarohi Gadagi,,,,0.0,0.0
Aarohi Naidu,,,,0.0,0.0
Aarohi Narayan,7.1,7.1,,0.0,0.0
Aarohi Patel,8.0,8.7,0.6683312551921137,0.0,0.0
Aaron Guldberg,,,,0.0,0.0
Aaron Lichtanski,,,,0.0,0.0
Aarona Lopez,,,,0.0,0.0
Aaronisha Elder,8.4,8.4,,0.0,0.0
Aaronita Carlton,5.4,5.4,,0.0,0.0
Aarpita Lohi,,,,0.0,0.0
Aarshi Banerjee,6.2,6.2,,0.0,0.0
Aarthi,5.138461538461538,7.5,1.605998371490697,0.0,0.0
Aarthi Agarwal,5.0058823529411764,8.8,1.87432340733773,0.0,0.0
Aarthi Deshpande,8.1,8.1,,0.0,0.0
Aarti,5.966666666666667,7.2,1.7485708450045712,0.0,0.0
Aarti Baldev,6.2,6.2,,0.0,0.0
Aarti Bole,7.3,7.3,,0.0,0.0
Aarti Chandorkar,6.3,6.3,,0.0,0.0
Aarti Chavan Tarade,,,,0.0,0.0
Aarti Chhabria,4.458823529411765,7.0,1.2057460468157317,0.0,0.0
Aarti Dave,7.8,7.8,,0.0,0.0
Aarti Desai,,,,0.0,0.0
Aarti Dhariwal,,,,0.0,0.0
Aarti Gupta,1.9,1.9,,0.0,0.0
Aarti Jadhav,,,,0.0,0.0
Aarti K. Attreya,6.2,6.2,,0.0,0.0
Aarti Kelkar,,,,0.0,0.0
Aarti Khaitan,,,,0.0,0.0
Aarti Kulkarni,6.8,6.8,0.0,0.0,0.0
Aarti Mandal,,,,0.0,0.0
Aarti Mann,6.4799999999999995,8.0,1.2557866060760483,0.0,0.0
Aarti Mehra,5.0,5.0,,0.0,0.0
Aarti Mittal Garg,6.6,6.6,,0.0,0.0
Aarti More,7.050000000000001,8.4,1.9091883092036788,0.0,0.0
Aarti Pandey,6.4,6.4,,0.0,0.0
Aarti Patel,8.0,8.4,0.5291502622129179,0.0,0.0
