primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
A.V. Jayaraj,,,,0.0,0.0
A.V. Krishna Paramatma,,,,0.0,0.0
A.V. Rockwell,,,,0.0,0.0
A.V. Sasidaran,3.2,3.2,,0.0,0.0
A.V. Seshagiri Rao,8.64,8.9,0.18165902124584926,0.0,0.0
A.V. Siva Prasad,7.7,7.7,,0.0,0.0
A.V.A. LaReaux,,,,0.0,0.0
A.V.K. Prasanth Babu,,,,0.0,0.0
A.V.M. Murgan,,,,0.0,0.0
A.V.M.B.,,,,0.0,0.0
A.V.S. Adi Narayana,,,,0.0,0.0
A.V.S. Subramanyam,5.8,5.8,,0.0,0.0
A.W. Gryphon,8.1,8.1,,0.0,0.0
A.W. Uhlig,,,,0.0,0.0
A.W. Vidmer,6.0,6.0,,0.0,0.0
A.a.V. Amasi,,,,0.0,0.0
AG Rojas,,,,0.0,0.0
AJ Belongia,,,,0.0,0.0
AJ Jones,,,,0.0,0.0
AJ Lovelace,,,,0.0,0.0
AJ Lutsky,,,,0.0,0.0
AJ Schnack,6.76,7.6,1.277888884058391,0.0,0.0
AJ Wedding,4.85,6.3,2.0506096654409878,0.0,0.0
AK Jampanna,,,,0.0,0.0
AK Srikanth,7.333333333333333,7.7,0.3511884584284246,0.0,0.0
AR Abhi,,,,0.0,0.0
AR Menon,,,,0.0,0.0
ATA,,,,0.0,0.0
Aabis Raza,6.5,6.5,,0.0,0.0
Aadatt M.P,,,,0.0,0.0
Aadharsh Madhikaandham,,,,0.0,0.0
Aadhavan,,,,0.0,0.0
Aadhi,5.2,5.2,,0.0,0.0
Aadhi Balakrishnan,,,,0.0,0.0
Aadhi Chandran,,,,0.0,0.0
Aadhiraajan,,,,0.0,0.0
Aadhitya Bahudhanam,,,,0.0,0.0
Aadil Jaleel,,,,0.0,0.0
Aadiram,7.4,7.4,,0.0,0.0
Aadish Keluskar,5.8,5.8,,0.0,0.0
Aadithyan,,,,0.0,0.0
Aage Rais-Nordentoft,5.64,6.9,0.9235799911215055,0.0,0.0
Aakash Bhatia,,,,0.0,0.0
Aakash Bikki,,,,0.0,0.0
Aakash Dikshit,,,,0.0,0.0
Aakash Gupta,,,,0.0,0.0
Aakash Odedra,,,,0.0,0.0
Aakkoo,5.3,5.3,,0.0,0.0
Aalam-Warqe Davidian,6.7,6.7,,0.0,0.0
Aalim Rushdy,,,,0.0,0.0
Aaliyah Nicole Jackson,,,,0.0,0.0
Aalmist Subba,6.2,6.2,,0.0,0.0
Aalok Hasan,,,,0.0,0.0
Aalok Pradhan,,,,0.0,0.0
Aalvin Amala Prasanna,,,,0.0,0.0
Aaminah Thompson,,,,0.0,0.0
Aamir Bashir,6.5,6.5,,0.0,0.0
Aamir Jasdanwala,,,,0.0,0.0
Aamir Khan,8.3,8.3,,0.0,0.0
Aamir Pallikkal,,,,0.0,0.0
Aamreeta Gautam,6.4,6.4,,0.0,0.0
Aamuro Kanda,,,,0.0,0.0
Aanaivari A. Sridhar,,,,0.0,0.0
Aanand .D. Ghathraj,,,,0.0,0.0
Aanand L. Rai,6.4799999999999995,7.6,1.2132600710482477,0.0,0.0
Aanand Raut,7.4,7.4,,0.0,0.0
Aanand Vathar,8.7,8.7,,0.0,0.0
Aandar Raj,,,,0.0,0.0
Aanish Farrukh,,,,0.0,0.0
Aanjinayya .K.,,,,0.0,0.0
Aaqib Khan,,,,0.0,0.0
Aaran Creece,7.2,7.2,,0.0,0.0
Aare Tilk,6.6,6.6,,0.0,0.0
Aaref Rodriguez,7.0,7.0,,0.0,0.0
Aarif Sheikh,5.9,5.9,,0.0,0.0
Aaripaka Prabhakar,,,,0.0,0.0
Aariz Ibrahim,,,,0.0,0.0
Aarna Saadya,,,,0.0,0.0
Aarne Tarkas,5.635294117647058,7.1,0.8260910788697788,0.0,0.0
Aarni Vaarnamo,,,,0.0,0.0
Aarno Cronvall,,,,0.0,0.0
Aaro Kuusinen,,,,0.0,0.0
Aaro Riponiemi,,,,0.0,0.0
Aarod Vawser,,,,0.0,0.0
Aaron A. Weiss,,,,0.0,0.0
Aaron Abdin,7.7,7.7,,0.0,0.0
Aaron Agrasanchez,7.0,7.0,,0.0,0.0
Aaron Aites,6.65,7.0,0.49497474683058373,0.0,0.0
Aaron Allred,4.2,4.2,,0.0,0.0
Aaron Alon,7.6,7.6,,0.0,0.0
Aaron Alter,,,,0.0,0.0
Aaron Arendt,6.9,6.9,,0.0,0.0
Aaron Arens,,,,0.0,0.0
Aaron Arkens,,,,0.0,0.0
Aaron Aziz,5.3,5.3,,0.0,0.0
Aaron B.,3.2,3.2,,0.0,0.0
Aaron B. Koontz,4.449999999999999,4.6,0.2121320343559638,0.0,0.0
Aaron Baldy,,,,0.0,0.0
Aaron Bandy,,,,0.0,0.0
Aaron Barfield,,,,0.0,0.0
Aaron Barnett,,,,0.0,0.0
Aaron Barrocas,,,,0.0,0.0
Aaron Barsky,2.6,2.6,,0.0,0.0
Aaron Bartlett,8.7,8.7,,0.0,0.0
Aaron Bartuska,,,,0.0,0.0
Aaron Bear,7.4,7.4,,0.0,0.0
Aaron Bell,8.0,8.0,,0.0,0.0
Aaron Berger,,,,0.0,0.0
Aaron Bernard,,,,0.0,0.0
Aaron Biebert,7.9,7.9,,0.0,0.0
Aaron Bierman,8.2,8.2,,0.0,0.0
Aaron Blair,,,,0.0,0.0
Aaron Blaise,6.9,6.9,,0.0,0.0
Aaron Blossom,8.3,8.3,,0.0,0.0
Aaron Bocanegra,,,,0.0,0.0
Aaron Boltz,3.3,3.3,,0.0,0.0
Aaron Bratcher,,,,0.0,0.0
Aaron Briner,,,,0.0,0.0
Aaron Brookner,7.2,7.4,0.2828427124746193,0.0,0.0
Aaron Brown,6.6,8.1,2.1213203435596424,0.0,0.0
Aaron Burk,2.95,3.6,0.9192388155425119,0.0,0.0
Aaron Burnett,7.4,7.4,,0.0,0.0
Aaron Burns,5.449999999999999,5.6,0.21213203435596445,0.0,0.0
Aaron Burton,,,,0.0,0.0
Aaron Bush,3.5,3.5,,0.0,0.0
Aaron C. Leaman,6.6,6.6,,0.0,0.0
Aaron Canter,,,,0.0,0.0
Aaron Carlson,4.3,4.3,,0.0,0.0
Aaron Catling,7.5,7.5,,0.0,0.0
Aaron Champion,6.6,6.6,,0.0,0.0
Aaron Christian Caine,,,,0.0,0.0
Aaron Coffman,,,,0.0,0.0
Aaron Cohen,7.6,7.6,,0.0,0.0
Aaron Collie,,,,0.0,0.0
Aaron Condon,,,,0.0,0.0
Aaron Covich,7.9,7.9,,0.0,0.0
Aaron Crozier,6.1,6.1,,0.0,0.0
Aaron Cullers,,,,0.0,0.0
Aaron D. Weisblatt,8.4,8.4,,0.0,0.0
Aaron Daniel Annas,4.6,4.6,,0.0,0.0
Aaron Daniel Mandel,,,,0.0,0.0
Aaron Davison,,,,0.0,0.0
Aaron Dawson,,,,0.0,0.0
Aaron Dennis,7.6,7.8,0.28284271247461895,0.0,0.0
Aaron Dias,,,,0.0,0.0
Aaron Dolgos,,,,0.0,0.0
Aaron Doolittle,,,,0.0,0.0
Aaron Dougherty,,,,0.0,0.0
Aaron Douglas Johnston,6.35,8.0,2.333452377915607,0.0,0.0
Aaron Downing,6.9,6.9,,0.0,0.0
Aaron Dunsay,8.4,8.4,,0.0,0.0
Aaron Dykes,7.0,7.0,,0.0,0.0
Aaron Dylan Kearns,5.1,5.1,,0.0,0.0
Aaron Edell,,,,0.0,0.0
Aaron Edson,,,,0.0,0.0
Aaron Escobar,4.8,4.8,,0.0,0.0
Aaron Falvey,,,,0.0,0.0
Aaron Farrington,7.9,7.9,,0.0,0.0
Aaron Faulls,7.9,7.9,,0.0,0.0
Aaron Feinstein,,,,0.0,0.0
Aaron Field,,,,0.0,0.0
Aaron Fischer,,,,0.0,0.0
Aaron Fisher,4.6,4.6,,0.0,0.0
Aaron Fisher-Cohen,6.5,7.4,1.272792206135786,0.0,0.0
Aaron Fjellman,,,,0.0,0.0
Aaron Floresco,,,,0.0,0.0
Aaron Fradkin,6.25,7.4,1.6263455967290599,0.0,0.0
Aaron Fronk,6.6,6.6,,0.0,0.0
Aaron G. Abrams,,,,0.0,0.0
Aaron G. Hale,,,,0.0,0.0
Aaron Garrett,3.3,3.3,,0.0,0.0
Aaron Ginsburg,7.7,7.7,,0.0,0.0
Aaron Godfred,3.5,3.5,,0.0,0.0
Aaron Goodmiller,5.6,5.6,,0.0,0.0
Aaron Greer,7.5,8.5,1.4142135623730951,0.0,0.0
Aaron Gum,7.9,7.9,,0.0,0.0
Aaron Gunn,,,,0.0,0.0
Aaron Guthrie,,,,0.0,0.0
Aaron Hagele,,,,0.0,0.0
Aaron Hancox,6.3,6.3,,0.0,0.0
Aaron Hann,6.0,6.0,,0.0,0.0
Aaron Harnick,5.0,5.0,,0.0,0.0
Aaron Harvey,4.225,5.0,1.1615363389350617,0.0,0.0
Aaron Hawkins,6.6,6.6,,0.0,0.0
Aaron Hendren,6.68,7.9,1.047377677822093,0.0,0.0
Aaron Herzog,,,,0.0,0.0
