primaryName,actor_score_mean,actor_score_max,actor_score_std,actor_ganador_oscar_prom,actor_nominado_oscar_prom
A. Fodulyan,4.7,4.7,,0.0,0.0
A. Frank Ruffo,5.333333333333333,5.5,0.15275252316519472,0.0,0.0
A. Fyodorova,6.6,6.6,,0.0,0.0
A. Galak,6.514285714285714,8.2,1.3535464203668492,0.0,0.0
A. Gavrilov,7.1,7.1,,0.0,0.0
A. Geibov,,,,0.0,0.0
A. Gerald Singer,,,,0.0,0.0
A. Gharibjanyan,6.9,6.9,,0.0,0.0
A. Giordenngo,6.6,6.6,,0.0,0.0
A. Glushchenko,5.5,6.3,1.1313708498984758,0.0,0.0
A. Gogberashvili,7.7,7.7,,0.0,0.0
A. Gomes Ferreira,,,,0.0,0.0
A. Gorbachev,6.6,6.6,,0.0,0.0
A. Grigorenko,5.8,5.8,,0.0,0.0
A. Grigoriadis,,,,0.0,0.0
A. Grigoryan,6.1,8.6,3.5355339059327378,0.0,0.0
A. Gudaitis,8.0,8.0,,0.0,0.0
A. Gulbiani,7.5,7.5,,0.0,0.0
A. Gunaseelan,,,,0.0,0.0
A. Gurung,5.2,5.2,,0.0,0.0
A. Hadi,7.4,7.4,,0.0,0.0
A. Harutyunyan,3.5,3.5,,0.0,0.0
A. Harvey,6.2,6.2,,0.0,0.0
A. Hasanov,,,,0.0,0.0
A. Hatzinger,,,,0.0,0.0
A. Hekimbashyan,4.3,4.3,,0.0,0.0
A. Ilankumaran,3.7,3.7,,0.0,0.0
A. Isahakyan,7.0,7.0,,0.0,0.0
A. Ismajlov,6.3,6.3,,0.0,0.0
A. Ivanov,5.800000000000001,6.7,1.2727922061357857,0.0,0.0
A. Januskevicius,7.8,7.8,,0.0,0.0
A. Japaridze,6.9,6.9,,0.0,0.0
A. Jason Lloyd,,,,0.0,0.0
A. Jay Radcliff,5.8,5.8,,0.0,0.0
A. Jayarati,5.5,5.5,,0.0,0.0
A. Jorbenadze,7.2,7.2,,0.0,0.0
A. Kajvoryan,5.35,6.0,0.9192388155425113,0.0,0.0
A. Karelin,6.1,6.1,,0.0,0.0
A. Karunanidhi,7.013333333333334,8.1,1.0521180451605139,0.0,0.0
A. Kasnitskiy,,,,0.0,0.0
A. Kelyukh,7.1,7.1,,0.0,0.0
A. Khajoo,5.3,5.3,,0.0,0.0
A. Khalik Noor Nasution,7.1000000000000005,8.0,0.7745966692414834,0.0,0.0
A. Khambazayev,6.7,6.7,,0.0,0.0
A. Khandmaa,5.5,5.5,,0.0,0.0
A. Kharitonov,4.6,4.6,,0.0,0.0
A. Khaskin,,,,0.0,0.0
A. Khedron de León,3.8,3.8,,0.0,0.0
A. Khodarev,6.6,6.6,,0.0,0.0
A. Khummedov,5.1,5.1,,0.0,0.0
A. Konev,6.2,6.2,,0.0,0.0
A. Korotin,,,,0.0,0.0
A. Korsunsky,5.8,5.8,,0.0,0.0
A. Kosivanov,5.3,5.3,,0.0,0.0
A. Kozhevnikov,6.4,6.4,,0.0,0.0
A. Kurtanidze,7.1,7.1,,0.0,0.0
A. Kuzkin,6.3,6.3,,0.0,0.0
A. Kyo Moon,5.5,5.5,,0.0,0.0
A. Lapukhin,4.9,4.9,,0.0,0.0
A. Lawrence Dreyfuss,6.9,6.9,,0.0,0.0
A. Lee Lee,5.0,5.0,,0.0,0.0
A. Lielise,5.2,5.2,,0.0,0.0
A. Mammadov,7.5,7.8,0.4242640687119283,0.0,0.0
A. Mani Vannan,6.9,6.9,,0.0,0.0
A. Manuel Miranda,,,,0.0,0.0
A. Maria Espejo,4.9,4.9,,0.0,0.0
A. Marshal Ward,,,,0.0,0.0
A. Marshall Webber,6.0,6.0,,0.0,0.0
A. Marutyan,2.9,2.9,,0.0,0.0
A. Mashkov,4.9,4.9,,0.0,0.0
A. Matrashyan,4.6,4.6,,0.0,0.0
A. Matulenis,5.8,5.8,,0.0,0.0
A. Mazulyaka,5.8,5.8,,0.0,0.0
A. Mekinyan,4.9,4.9,,0.0,0.0
A. Michael Baldwin,5.233333333333333,7.1,1.5346009253222805,0.0,0.0
A. Michael Donshik,,,,0.0,0.0
A. Mike Forgette,3.5,3.5,,0.0,0.0
A. Mogorosi,,,,0.0,0.0
A. Mohanraj,,,,0.0,0.0
A. Morozov,4.9,4.9,,0.0,0.0
A. Moser,8.1,8.1,,0.0,0.0
A. Moskalyev,,,,0.0,0.0
A. Mukhin,,,,0.0,0.0
A. Muradkhanyan,4.3,4.3,,0.0,0.0
A. Muradyan,4.7,4.7,,0.0,0.0
A. Murat Özgen,6.8,6.8,,0.0,0.0
A. Narasimman,7.9,7.9,,0.0,0.0
A. Nauvah Patdjangi,,,,0.0,0.0
A. Nikoghosyan,7.5,7.5,,0.0,0.0
A. Nikolayev,6.3,6.3,,0.0,0.0
A. Orlov,7.2,7.2,,0.0,0.0
A. Pandey,,,,0.0,0.0
A. Panneeirchelvam,5.3,5.3,,0.0,0.0
A. Polovchenko,7.3,7.3,,0.0,0.0
A. Pop Martian,7.2,7.2,,0.0,0.0
A. Pospelov,6.5,6.5,,0.0,0.0
A. Pradeep,,,,0.0,0.0
A. Priede,5.3,5.3,,0.0,0.0
A. Rafiq,,,,0.0,0.0
A. Rahim,7.788888888888888,9.2,0.7573711845001171,0.0,0.0
A. Ramirez,3.1,3.1,,0.0,0.0
A. Rani Someng,,,,0.0,0.0
A. Ravikumar,4.8,4.8,,0.0,0.0
A. Raviteja,,,,0.0,0.0
A. Roger Hawkins,,,,0.0,0.0
A. Russell Andrews,5.875,7.5,1.7461863207191457,0.0,0.0
A. Sahradyan,6.1,6.1,,0.0,0.0
A. Salimov,,,,0.0,0.0
A. Sargsyan,4.3,4.3,,0.0,0.0
A. Sasikumar,8.1,8.1,,0.0,0.0
A. Scott,5.0,5.0,,0.0,0.0
A. Scott Berg,7.8,7.8,,0.0,0.0
A. Semyonov,,,,0.0,0.0
A. Seyta,7.1,7.1,,0.0,0.0
A. Shah Shikarpuri,7.7,7.7,,0.0,0.0
A. Shahverdyan,7.0,7.0,,0.0,0.0
A. Sheriff,,,,0.0,0.0
A. Skovorodov,,,,0.0,0.0
A. Smirnov,7.3,7.3,,0.0,0.0
A. Soghomonyan,3.9,3.9,,0.0,0.0
A. Sugak,5.3,5.3,,0.0,0.0
A. Sun,5.2,5.2,,0.0,0.0
A. Tarasenkov,6.6,6.6,,0.0,0.0
A. Thomas Smith,4.2,4.2,,0.0,0.0
A. Tsegmid,6.0,6.0,,0.0,0.0
A. Tsofnas,7.5,7.5,,0.0,0.0
A. Uruñuela,,,,0.0,0.0
A. Varun Raj,,,,0.0,0.0
A. Vasilyev,5.95,6.9,1.3435028842544405,0.0,0.0
A. Vdovkin,6.1,6.1,,0.0,0.0
A. Veerappan,7.225,7.5,0.37749172176353724,0.0,0.0
A. Venkatesh,6.383333333333333,8.4,2.0133719643092944,0.0,0.0
A. Volodarskiy,4.7,4.7,,0.0,0.0
A. Vruyr,4.9,4.9,,0.0,0.0
A. Wade Miller,2.4,2.4,,0.0,0.0
A. Wash,,,,0.0,0.0
A. Yatsenko,6.4,6.4,,0.0,0.0
A. Yeremeyev,6.0,6.0,,0.0,0.0
A. Yevstifyev,7.5,7.5,,0.0,0.0
A. Zaj,4.8,4.8,,0.0,0.0
A. Zakalinsky,8.0,8.0,,0.0,0.0
A. Zibikas,7.6,7.6,,0.0,0.0
A. Önörjargal,,,,0.0,0.0
A.A. Baig,6.3,6.3,,0.0,0.0
A.A. Corbin Puryear,6.0,6.0,,0.0,0.0
A.A. Gde Wipra,5.9,5.9,,0.0,0.0
A.A. Miller,,,,0.0,0.0
A.A. Oka Dalem,,,,0.0,0.0
A.A. Shaikh,5.0,5.0,,0.0,0.0
A.B. Butler,,,,0.0,0.0
A.B. Lugo,,,,0.0,0.0
A.B. Monk,7.2,7.2,,0.0,0.0
A.B. Nuruddin Ahmed,7.7,7.7,,0.0,0.0
A.C. Castillo,7.7,7.7,,0.0,0.0
A.C. Castro,4.3,4.3,,0.0,0.0
A.C. Chang,6.1,6.1,,0.0,0.0
A.C. Earing,5.0,5.3,0.4242640687119283,0.0,0.0
A.C. Farias,7.8,7.8,,0.0,0.0
A.C. Grayling,8.1,8.1,,0.0,0.0
